id,acc,label,uri
f87f9266-f391-52a6-b268-d05b8e106e74,9276,COPB2,https://www.ncbi.nlm.nih.gov/gene/9276
4d327fe0-f48c-5bd9-9ca9-089fc20e9965,23753,SDF2L1,https://www.ncbi.nlm.nih.gov/gene/23753
b8f6bd90-47aa-5902-9f9e-9832a2fecb48,3313,HSPA9,https://www.ncbi.nlm.nih.gov/gene/3313
1496ab36-6e77-5b64-8a7c-0f42c8aaae97,10576,CCT2,https://www.ncbi.nlm.nih.gov/gene/10576
0af91c01-068c-58d1-ab33-55c80fb50acc,6767,ST13,https://www.ncbi.nlm.nih.gov/gene/6767
d4474ebb-46fe-5712-ae4f-47faf3ee262f,3310,HSPA6,https://www.ncbi.nlm.nih.gov/gene/3310
ccae131b-a9a4-5fcb-93ca-5663417a2afe,957,ENTPD5,https://www.ncbi.nlm.nih.gov/gene/957
c855541b-b23f-5bd0-85ab-fa1f906160b4,3309,HSPA5,https://www.ncbi.nlm.nih.gov/gene/3309
0839011e-d780-599f-b672-f9c3340c09bf,10728,PTGES3,https://www.ncbi.nlm.nih.gov/gene/10728
01bdad9a-7a78-5ba2-81d4-af4857081b9d,3305,HSPA1L,https://www.ncbi.nlm.nih.gov/gene/3305
a7ef4d71-4026-5610-b342-4512b33ef424,3312,HSPA8,https://www.ncbi.nlm.nih.gov/gene/3312
b8b4c663-3ff6-509d-97da-38896d2c6826,374407,DNAJB13,https://www.ncbi.nlm.nih.gov/gene/374407
d83da62a-feb5-5cc7-b654-ba515a94e858,3306,HSPA2,https://www.ncbi.nlm.nih.gov/gene/3306
7cfdf937-3a33-53e4-896d-ac047f2d7ddb,79982,DNAJB14,https://www.ncbi.nlm.nih.gov/gene/79982
e0d070f7-2910-55e9-96cd-bebc1d60cff2,3336,HSPE1,https://www.ncbi.nlm.nih.gov/gene/3336
df843259-c7c8-549f-bcdc-a12a7b265b75,202052,DNAJC18,https://www.ncbi.nlm.nih.gov/gene/202052
3c79df11-7bea-5d8c-a0bf-c008243787b5,2580,GAK,https://www.ncbi.nlm.nih.gov/gene/2580
1608544c-71cb-569e-ac10-826fd91fb7e0,7266,DNAJC7,https://www.ncbi.nlm.nih.gov/gene/7266
005792d3-3027-5907-9fbb-030653a1b9e4,54788,DNAJB12,https://www.ncbi.nlm.nih.gov/gene/54788
e7d9f887-effd-5447-bf79-aca717fb75fe,3303,HSPA1A,https://www.ncbi.nlm.nih.gov/gene/3303
4617f090-25dd-5c6f-8e8c-3d51d32fbb11,3304,HSPA1B,https://www.ncbi.nlm.nih.gov/gene/3304
bb83901d-f24b-5f15-839b-4b66de0ba3b9,30001,ERO1A,https://www.ncbi.nlm.nih.gov/gene/30001
5c274934-ea09-5100-9401-2dd0329e730c,9403,SELENOF,https://www.ncbi.nlm.nih.gov/gene/9403
f7eb12c2-26e2-5d28-b6d2-d72271aa003c,51182,HSPA14,https://www.ncbi.nlm.nih.gov/gene/51182
16e48006-6f0d-5f5a-9ac0-c713b5bbe47d,6782,HSPA13,https://www.ncbi.nlm.nih.gov/gene/6782
c49be37d-34a9-5eb5-8b4a-d21eeb8e28bd,3337,DNAJB1,https://www.ncbi.nlm.nih.gov/gene/3337
a5b2c46c-e83c-5dce-94a9-9fc428d607b8,131474,CHCHD4,https://www.ncbi.nlm.nih.gov/gene/131474
600a4489-3edb-56f8-b24c-57a0085c3949,573,BAG1,https://www.ncbi.nlm.nih.gov/gene/573
9e6760de-9040-5d1e-83b0-26ede8d01096,25822,DNAJB5,https://www.ncbi.nlm.nih.gov/gene/25822
5ef29f72-028d-5ec7-882a-84d4d7a9a87b,11080,DNAJB4,https://www.ncbi.nlm.nih.gov/gene/11080
9e7a03c0-355f-5b94-8b9a-a3d79f643420,6388,SDF2,https://www.ncbi.nlm.nih.gov/gene/6388
da31cf0f-05a0-581b-be0a-09e00931e761,56886,UGGT1,https://www.ncbi.nlm.nih.gov/gene/56886
41316777-e649-5413-a18b-660263243b2f,3417,IDH1,https://www.ncbi.nlm.nih.gov/gene/3417
630449a7-f366-5f59-a593-a06a044cfba9,5264,PHYH,https://www.ncbi.nlm.nih.gov/gene/5264
c7a4e342-dc67-54d9-b431-8ac51cd9a087,51166,AADAT,https://www.ncbi.nlm.nih.gov/gene/51166
382ea55b-2c34-5e13-9fac-3c0a46c291d0,2806,GOT2,https://www.ncbi.nlm.nih.gov/gene/2806
bec0f20c-6b9f-5d1b-a7f3-363fdba30098,92259,MRPS36,https://www.ncbi.nlm.nih.gov/gene/92259
85f93663-7bfc-5cea-8744-1fe53197a376,2805,GOT1,https://www.ncbi.nlm.nih.gov/gene/2805
9fc5d32f-4926-5515-825b-dcb1d8d8e16e,3418,IDH2,https://www.ncbi.nlm.nih.gov/gene/3418
1a3b29f7-af1f-5f42-b2c9-f7ccdc26786d,137872,ADHFE1,https://www.ncbi.nlm.nih.gov/gene/137872
01e37b03-7a61-5ac6-b1f7-6de98c1e2c19,84706,GPT2,https://www.ncbi.nlm.nih.gov/gene/84706
6892f315-76f3-5054-899d-13c454ede42c,6898,TAT,https://www.ncbi.nlm.nih.gov/gene/6898
4112141e-131b-5035-ab4c-7bab01050cc8,1743,DLST,https://www.ncbi.nlm.nih.gov/gene/1743
dbed0c99-d538-5ac4-b8c6-a0f4e1c22d58,79944,L2HGDH,https://www.ncbi.nlm.nih.gov/gene/79944
48f73f1c-a0b8-55af-9c7a-c6336eec7262,728294,D2HGDH,https://www.ncbi.nlm.nih.gov/gene/728294
29c91c01-2a61-5fee-a2e5-3332ba645a46,4967,OGDH,https://www.ncbi.nlm.nih.gov/gene/4967
302b6774-437a-5885-b58c-5b55a03c104b,10861,SLC26A1,https://www.ncbi.nlm.nih.gov/gene/10861
58cf6ab3-3335-55cd-b474-530f5c59b8aa,51000,SLC35B3,https://www.ncbi.nlm.nih.gov/gene/51000
5138964d-595f-58a8-9ebd-6f068ad2a2b4,1836,SLC26A2,https://www.ncbi.nlm.nih.gov/gene/1836
322946b8-a84e-59b6-aaa9-526f62ae2799,347734,SLC35B2,https://www.ncbi.nlm.nih.gov/gene/347734
53e569a0-b68d-558c-a9a9-1174aaba2d8b,9061,PAPSS1,https://www.ncbi.nlm.nih.gov/gene/9061
6f1b42de-0555-5026-9846-1c3d6c17caa0,9060,PAPSS2,https://www.ncbi.nlm.nih.gov/gene/9060
713c609f-f4db-5e32-8968-bed76a611c99,84836,ABHD14B,https://www.ncbi.nlm.nih.gov/gene/84836
0ab05434-da7b-5220-b633-b54a90016f34,8459,TPST2,https://www.ncbi.nlm.nih.gov/gene/8459
50948106-e3e6-5659-b40e-4612a85a0d48,6820,SULT2B1,https://www.ncbi.nlm.nih.gov/gene/6820
2bb8bd1e-e217-5630-9747-b5beee86c1fa,27284,SULT1B1,https://www.ncbi.nlm.nih.gov/gene/27284
fe99e0fe-6138-5c58-999b-4026822bddb8,8460,TPST1,https://www.ncbi.nlm.nih.gov/gene/8460
639ffab8-0f8f-53d8-9ec8-a9740415b89b,391365,SULT6B1,https://www.ncbi.nlm.nih.gov/gene/391365
4179dd1d-eaf6-5ba5-95c3-4c0b250e4cf0,6822,SULT2A1,https://www.ncbi.nlm.nih.gov/gene/6822
58c7d114-7551-5682-9f6c-29cd163f0415,27233,SULT1C4,https://www.ncbi.nlm.nih.gov/gene/27233
058e0fb2-9e6b-5051-ba18-c2e0fdb5d62d,6799,SULT1A2,https://www.ncbi.nlm.nih.gov/gene/6799
341b28a9-a13d-5b38-9477-282608ceb0d3,6817,SULT1A1,https://www.ncbi.nlm.nih.gov/gene/6817
cb15c11a-5e0f-5f50-9410-bfac92ef0549,442038,SULT1C3,https://www.ncbi.nlm.nih.gov/gene/442038
