id,label,acc,url
0664a807-2bd4-519c-8e22-65857c997bab,"46, XX Testicular Disorders of Sex Development",C2936419,https://www.disgenet.org/browser/0/1/0/C2936419/
81200f22-8251-51ce-8d5c-64ceab2c35c6,"46, XY Disorders of Sex Development",C2751824,https://www.disgenet.org/browser/0/1/0/C2751824/
5ba448d9-e12a-5ac0-b070-70fee45398b3,"46, XY female",C0432470,https://www.disgenet.org/browser/0/1/0/C0432470/
61a85a3a-1782-58f0-9ed7-4163dbc4d93e,"46,XY partial gonadal dysgenesis",C4510744,https://www.disgenet.org/browser/0/1/0/C4510744/
26ec63c0-1e19-5045-8e3e-17f0a852f000,"5,10-Methylenetetrahydrofolate reductase deficiency",C0268615,https://www.disgenet.org/browser/0/1/0/C0268615/
ec3c0a3a-c350-5388-99b5-d750c5423cff,"Abnormalities, Drug-Induced",C0000771,https://www.disgenet.org/browser/0/1/0/C0000771/
de9701fe-48c4-5ab4-b1b9-b5487b6b2ba1,"Abortion, Habitual",C0000809,https://www.disgenet.org/browser/0/1/0/C0000809/
744558f9-f7c1-5a94-986c-0b794f770850,"Abortion, Tubal",C0000822,https://www.disgenet.org/browser/0/1/0/C0000822/
3f8f5a3a-550b-538e-894d-3db8dbba5397,"Achondrogenesis, type IB (disorder)",C0265274,https://www.disgenet.org/browser/0/1/0/C0265274/
9944364f-7512-55ca-98f3-2853afc9afbd,"Acidosis, Lactic",C0001125,https://www.disgenet.org/browser/0/1/0/C0001125/
e5f4cb49-872e-51b6-a457-7699222ed343,"ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE",C1864356,https://www.disgenet.org/browser/0/1/0/C1864356/
dfcc2cab-d155-5904-8f28-4dc1d0f7c958,"ACTH Syndrome, Ectopic",C0001231,https://www.disgenet.org/browser/0/1/0/C0001231/
f0e4a697-6412-5bee-b4d6-52cfa25e26d3,"Acute Myeloid Leukemia, M1",C0026998,https://www.disgenet.org/browser/0/1/0/C0026998/
7d6aa277-9f43-5682-b961-d28e36de03bc,"Acute myeloid leukemia, minimal differentiation",C0522631,https://www.disgenet.org/browser/0/1/0/C0522631/
044f6604-a980-5053-b6c5-97ec63cb076f,"Adenocarcinoma of lung, stage I",,
93713bee-d9be-5e02-a27a-08ef2075bf5c,"Adenocarcinoma of lung, stage IV",C0854988,https://www.disgenet.org/browser/0/1/0/C0854988/
ce448cd9-1c0f-576f-97c2-e37cf3be3163,"Adenocarcinoma, Basal Cell",C0205641,https://www.disgenet.org/browser/0/1/0/C0205641/
b26d6060-ced2-59ac-8b7d-4f92f1dc6041,"Adenocarcinoma, Clear Cell",C0206681,https://www.disgenet.org/browser/0/1/0/C0206681/
0125a8e7-155b-5682-9774-176a4be50f63,"Adenocarcinoma, Endometrioid",C1569637,https://www.disgenet.org/browser/0/1/0/C1569637/
b9a564e0-648c-5733-9ad8-550fea4a1e7f,"Adenocarcinoma, intestinal type",,
5724a1b9-f585-51f0-a2cc-a6fddfa6b3ea,"Adenocarcinoma, metastatic",C0334277,https://www.disgenet.org/browser/0/1/0/C0334277/
187f4ac0-31cd-5637-a5fa-3832c0087159,"Adenocarcinoma, Oxyphilic",C0205642,https://www.disgenet.org/browser/0/1/0/C0205642/
21072ba7-1e1d-5cac-8671-832f0f8276eb,"Adenocarcinoma, Scirrhous",C0007135,https://www.disgenet.org/browser/0/1/0/C0007135/
88ec0454-bfe0-5e9b-ab73-c39d01976b32,"Adenocarcinoma, Tubular",C0205645,https://www.disgenet.org/browser/0/1/0/C0205645/
8a1590ff-36ee-56f8-af93-3a8e937c39a5,"Adenoma, Basal Cell",C0205646,https://www.disgenet.org/browser/0/1/0/C0205646/
dcd2f807-0349-5dc1-9fbf-a46aac8c7da3,"Adenoma, Microcystic",C0205648,https://www.disgenet.org/browser/0/1/0/C0205648/
19c05d02-32aa-58e8-aa9e-79aa3b8774bb,"Adenoma, Monomorphic",C0205649,https://www.disgenet.org/browser/0/1/0/C0205649/
48df5c5f-6b33-59ce-abce-aaef790155e0,"Adenoma, Trabecular",C0205651,https://www.disgenet.org/browser/0/1/0/C0205651/
