id,label,ontology_label,acc,uri
a37a0710-0a5c-5f94-a07a-de9efcd7ad5e,'de novo' posttranslational protein folding (GO:0051084),'de novo' posttranslational protein folding,GO:0051084,http://amigo.geneontology.org/amigo/term/GO:0051084
b2491c33-8e7c-5380-b096-6d7d57697cc9,2-oxoglutarate metabolic process (GO:0006103),2-oxoglutarate metabolic process,GO:0006103,http://amigo.geneontology.org/amigo/term/GO:0006103
03198c0a-4591-5bae-aca9-7d7b1ea340be,3'-phosphoadenosine 5'-phosphosulfate biosynthetic process (GO:0050428),3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,GO:0050428,http://amigo.geneontology.org/amigo/term/GO:0050428
285384f1-7987-5446-9cf3-425d765a20ce,3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427),3'-phosphoadenosine 5'-phosphosulfate metabolic process,GO:0050427,http://amigo.geneontology.org/amigo/term/GO:0050427
730fd90b-d398-5158-90ae-a9a2b2a94730,3'-UTR-mediated mRNA destabilization (GO:0061158),3'-UTR-mediated mRNA destabilization,GO:0061158,http://amigo.geneontology.org/amigo/term/GO:0061158
adefe1da-161d-5713-8381-333d13b0d1b2,3'-UTR-mediated mRNA stabilization (GO:0070935),3'-UTR-mediated mRNA stabilization,GO:0070935,http://amigo.geneontology.org/amigo/term/GO:0070935
77d26a17-9425-5f96-b14f-26ccb5e6918a,5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015),5-phosphoribose 1-diphosphate biosynthetic process,GO:0006015,http://amigo.geneontology.org/amigo/term/GO:0006015
0b89013d-0125-5458-951f-6f2a3eea0baf,5-phosphoribose 1-diphosphate metabolic process (GO:0046391),5-phosphoribose 1-diphosphate metabolic process,GO:0046391,http://amigo.geneontology.org/amigo/term/GO:0046391
f5d95b09-fcd7-501d-bbf3-5352c6046481,5S class rRNA transcription by RNA polymerase III (GO:0042791),5S class rRNA transcription by RNA polymerase III,GO:0042791,http://amigo.geneontology.org/amigo/term/GO:0042791
6d5f6c1a-8316-5ca8-bbdb-678d931b7282,7-methylguanosine mRNA capping (GO:0006370),7-methylguanosine mRNA capping,GO:0006370,http://amigo.geneontology.org/amigo/term/GO:0006370
9d766edc-9661-55a3-89c8-eb87e3a9dc85,7-methylguanosine RNA capping (GO:0009452),7-methylguanosine RNA capping,GO:0009452,http://amigo.geneontology.org/amigo/term/GO:0009452
ead366de-60f6-57ef-a2e4-0d168f8b21aa,acetyl-CoA biosynthetic process (GO:0006085),acetyl-CoA biosynthetic process,GO:0006085,http://amigo.geneontology.org/amigo/term/GO:0006085
d5cc31cc-2890-5cfa-8d00-3b6e7dbcf59a,acetyl-CoA biosynthetic process from pyruvate (GO:0006086),acetyl-CoA biosynthetic process from pyruvate,GO:0006086,http://amigo.geneontology.org/amigo/term/GO:0006086
d89d2911-5c9a-5bea-8273-3324234406a0,acetyl-CoA metabolic process (GO:0006084),acetyl-CoA metabolic process,GO:0006084,http://amigo.geneontology.org/amigo/term/GO:0006084
2c01d897-c561-519f-be02-f103ce96a7b1,acetylcholine receptor signaling pathway (GO:0095500),acetylcholine receptor signaling pathway,GO:0095500,http://amigo.geneontology.org/amigo/term/GO:0095500
3ac8533d-7779-5a34-a096-cb63cf46750a,acid secretion (GO:0046717),acid secretion,GO:0046717,http://amigo.geneontology.org/amigo/term/GO:0046717
f0ff8663-49ad-5a42-9d64-9dda5370a4d5,acidic amino acid transport (GO:0015800),acidic amino acid transport,GO:0015800,http://amigo.geneontology.org/amigo/term/GO:0015800
f277df14-5784-5d4d-abf6-5abba97de00d,actin crosslink formation (GO:0051764),actin crosslink formation,GO:0051764,http://amigo.geneontology.org/amigo/term/GO:0051764
ef123120-eb8b-525b-baa3-458f0955bfeb,actin cytoskeleton reorganization (GO:0031532),actin cytoskeleton reorganization,GO:0031532,http://amigo.geneontology.org/amigo/term/GO:0031532
0cae3efe-753a-54cd-98a4-d5b3b7f153b2,actin filament bundle assembly (GO:0051017),actin filament bundle assembly,GO:0051017,http://amigo.geneontology.org/amigo/term/GO:0051017
cadbb6ae-9632-58a2-a0f0-1719891ae094,actin filament bundle organization (GO:0061572),actin filament bundle organization,GO:0061572,http://amigo.geneontology.org/amigo/term/GO:0061572
d6cd0f31-395d-581b-9e1b-5c0387b70cc5,actin filament capping (GO:0051693),actin filament capping,GO:0051693,http://amigo.geneontology.org/amigo/term/GO:0051693
139dc5e7-b63e-5210-a2b1-a3ceabf437c7,actin filament depolymerization (GO:0030042),actin filament depolymerization,GO:0030042,http://amigo.geneontology.org/amigo/term/GO:0030042
0a7101e0-a3fe-591f-8670-2b4e909d4581,actin filament network formation (GO:0051639),actin filament network formation,GO:0051639,http://amigo.geneontology.org/amigo/term/GO:0051639
a287026f-d7d8-526f-9270-a030d76f4524,actin filament organization (GO:0007015),actin filament organization,GO:0007015,http://amigo.geneontology.org/amigo/term/GO:0007015
15d638b4-89b5-52d2-b6e6-9f62d256c563,actin filament polymerization (GO:0030041),actin filament polymerization,GO:0030041,http://amigo.geneontology.org/amigo/term/GO:0030041
2c3e049e-0f37-5618-881b-3a9c1f13b98c,actin filament reorganization (GO:0090527),actin filament reorganization,GO:0090527,http://amigo.geneontology.org/amigo/term/GO:0090527
