id,label,pathway,acc,uri
1dabd02b-5116-5219-b932-191dc12d227c,15q11.2 copy number variation syndrome WP4940,15q11.2 copy number variation syndrome,WP4940,https://www.wikipathways.org/index.php/Pathway:WP4940
61758bae-776b-5f11-a767-26405fd47063,15q13.3 copy number variation syndrome WP4942,15q13.3 copy number variation syndrome,WP4942,https://www.wikipathways.org/index.php/Pathway:WP4942
5732069e-aec7-54a7-8243-f830caf42a2b,16p11.2 distal deletion syndrome WP4950,16p11.2 distal deletion syndrome,WP4950,https://www.wikipathways.org/index.php/Pathway:WP4950
0cb66900-3ceb-561d-acff-723619ae54de,16p11.2 proximal deletion syndrome WP4949,16p11.2 proximal deletion syndrome,WP4949,https://www.wikipathways.org/index.php/Pathway:WP4949
678cd5f5-6a1e-5c39-87d2-2fc823a43442,1q21.1 copy number variation syndrome WP4905,1q21.1 copy number variation syndrome,WP4905,https://www.wikipathways.org/index.php/Pathway:WP4905
1463d9fc-e7a9-5bc2-ae22-5bec0236e840,22q11.2 copy number variation syndrome WP4657,22q11.2 copy number variation syndrome,WP4657,https://www.wikipathways.org/index.php/Pathway:WP4657
514618a7-c788-56a8-bd46-b5ab700e7f8d,3q29 copy number variation syndrome WP4906,3q29 copy number variation syndrome,WP4906,https://www.wikipathways.org/index.php/Pathway:WP4906
bc23930c-aaab-582d-88e0-3e29c4ecb816,"4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879","4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression",WP3879,https://www.wikipathways.org/index.php/Pathway:WP3879
3ef123d6-4dfd-54b2-88dd-7e8a190d9937,7-oxo-C and 7beta-HC pathways WP5064,7-oxo-C and 7beta-HC pathways,WP5064,https://www.wikipathways.org/index.php/Pathway:WP5064
1cb30cee-b893-5bc6-a896-52eebee4192b,7q11.23 copy number variation syndrome WP4932,7q11.23 copy number variation syndrome,WP4932,https://www.wikipathways.org/index.php/Pathway:WP4932
cd6530c5-d0cb-5e14-ac03-571425bf0e97,ACE Inhibitor Pathway WP554,ACE Inhibitor Pathway,WP554,https://www.wikipathways.org/index.php/Pathway:WP554
8b007353-f513-5da0-88a4-53913e51bec8,Acetylcholine Synthesis WP528,Acetylcholine Synthesis,WP528,https://www.wikipathways.org/index.php/Pathway:WP528
92d0b1af-c8b7-5547-8eb2-b99bb700c851,Activation of NLRP3 Inflammasome by SARS-CoV-2 WP4876,Activation of NLRP3 Inflammasome by SARS-CoV-2,WP4876,https://www.wikipathways.org/index.php/Pathway:WP4876
7eabb638-3fb9-5f07-a61a-e933aa3fb348,Acute viral myocarditis WP4298,Acute viral myocarditis,WP4298,https://www.wikipathways.org/index.php/Pathway:WP4298
2a40bbee-aa73-5151-916c-bfd6442370a9,Adipogenesis WP236,Adipogenesis,WP236,https://www.wikipathways.org/index.php/Pathway:WP236
a62a2d70-bce5-5dc9-8085-e4e609eade7d,Aflatoxin B1 metabolism WP699,Aflatoxin B1 metabolism,WP699,https://www.wikipathways.org/index.php/Pathway:WP699
c345c26b-4cf5-5ce0-a4cb-84c2e285c306,AGE/RAGE pathway WP2324,AGE/RAGE pathway,WP2324,https://www.wikipathways.org/index.php/Pathway:WP2324
5f92a5d8-5de5-52ae-9f9d-e480692fba25,Airway smooth muscle cell contraction WP4962,Airway smooth muscle cell contraction,WP4962,https://www.wikipathways.org/index.php/Pathway:WP4962
3f9785c5-006a-573d-bae8-206c8d16150e,Alanine and aspartate metabolism WP106,Alanine and aspartate metabolism,WP106,https://www.wikipathways.org/index.php/Pathway:WP106
e6af4987-ef0f-5305-b1ee-dea97c2606a5,Allograft Rejection WP2328,Allograft Rejection,WP2328,https://www.wikipathways.org/index.php/Pathway:WP2328
0aace216-650b-5dc8-9c40-cc530d937229,Alpha 6 Beta 4 signaling pathway WP244,Alpha 6 Beta 4 signaling pathway,WP244,https://www.wikipathways.org/index.php/Pathway:WP244
1f8cd171-96c6-53d6-9d72-7564231b5b29,Alzheimer's disease WP2059,Alzheimer's disease,WP2059,https://www.wikipathways.org/index.php/Pathway:WP2059
6054f24e-2689-5c72-abcd-2455092146be,Amino Acid Metabolism Pathway Excerpt (Histidine catabolism extension) WP4661,Amino Acid Metabolism Pathway Excerpt (Histidine catabolism extension),WP4661,https://www.wikipathways.org/index.php/Pathway:WP4661
5d068a9a-0918-58ef-94b8-3a74b1e30e74,Amino Acid metabolism WP3925,Amino Acid metabolism,WP3925,https://www.wikipathways.org/index.php/Pathway:WP3925
e8f2e6f4-f42f-5778-86ac-9789f5a164a4,AMP-activated protein kinase (AMPK) signaling WP1403,AMP-activated protein kinase (AMPK) signaling,WP1403,https://www.wikipathways.org/index.php/Pathway:WP1403
322037f7-1723-526c-9001-ddf36aa70f3e,Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678,Amplification and Expansion of Oncogenic Pathways as Metastatic Traits,WP3678,https://www.wikipathways.org/index.php/Pathway:WP3678
d6d48146-0377-5e99-84b5-4d8f59185b52,Amyotrophic lateral sclerosis (ALS) WP2447,Amyotrophic lateral sclerosis (ALS),WP2447,https://www.wikipathways.org/index.php/Pathway:WP2447
250eb212-d81c-57a2-98ea-ea83fbf86d60,Androgen receptor signaling pathway WP138,Androgen receptor signaling pathway,WP138,https://www.wikipathways.org/index.php/Pathway:WP138
78033c7c-174e-5813-897e-fce8a1191104,Angiogenesis WP1539,Angiogenesis,WP1539,https://www.wikipathways.org/index.php/Pathway:WP1539
5d89f092-529b-5e82-8165-6452af377bd6,Angiopoietin Like Protein 8 Regulatory Pathway WP3915,Angiopoietin Like Protein 8 Regulatory Pathway,WP3915,https://www.wikipathways.org/index.php/Pathway:WP3915
9b684d54-7687-5923-9fe5-7fdb2d60b2c7,ApoE and miR-146 in inflammation and atherosclerosis WP3926,ApoE and miR-146 in inflammation and atherosclerosis,WP3926,https://www.wikipathways.org/index.php/Pathway:WP3926
74ddb8cc-ab57-524b-b5fb-a41901544512,Apoptosis Modulation and Signaling WP1772,Apoptosis Modulation and Signaling,WP1772,https://www.wikipathways.org/index.php/Pathway:WP1772
dda9172a-18ef-52b8-81e6-f6c4f6accc8f,Apoptosis Modulation by HSP70 WP384,Apoptosis Modulation by HSP70,WP384,https://www.wikipathways.org/index.php/Pathway:WP384
f74c00b2-8b2e-5fef-9246-c23fe6209034,Apoptosis WP254,Apoptosis,WP254,https://www.wikipathways.org/index.php/Pathway:WP254
38e50458-7b78-52e4-bbe7-16fc160d1903,Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864,Apoptosis-related network due to altered Notch3 in ovarian cancer,WP2864,https://www.wikipathways.org/index.php/Pathway:WP2864
275f67e2-f24a-5955-a519-1acc45553ed2,Arachidonate Epoxygenase / Epoxide Hydrolase WP678,Arachidonate Epoxygenase / Epoxide Hydrolase,WP678,https://www.wikipathways.org/index.php/Pathway:WP678
c38462fd-245e-5b98-92ac-dad6b705975c,Arrhythmogenic Right Ventricular Cardiomyopathy WP2118,Arrhythmogenic Right Ventricular Cardiomyopathy,WP2118,https://www.wikipathways.org/index.php/Pathway:WP2118
d438ad13-94f8-56dd-8f2a-999167afdca1,Aryl Hydrocarbon Receptor Netpath WP2586,Aryl Hydrocarbon Receptor Netpath,WP2586,https://www.wikipathways.org/index.php/Pathway:WP2586
f67b81cc-7c26-5726-baa5-6aee0ad262f5,Aryl Hydrocarbon Receptor Pathway WP2873,Aryl Hydrocarbon Receptor Pathway,WP2873,https://www.wikipathways.org/index.php/Pathway:WP2873
c43f96ee-7371-5b65-b093-ccb8b139d903,Arylamine metabolism WP694,Arylamine metabolism,WP694,https://www.wikipathways.org/index.php/Pathway:WP694
60c6e973-d7d5-539b-99df-3785bab2b152,Aspirin and miRNAs WP4707,Aspirin and miRNAs,WP4707,https://www.wikipathways.org/index.php/Pathway:WP4707
d451abad-babf-547a-ab3c-de3f8c4dbc9b,Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680,Association Between Physico-Chemical Features and Toxicity Associated Pathways,WP3680,https://www.wikipathways.org/index.php/Pathway:WP3680
54a9f304-bb42-5baf-ba70-6c385fe4ac5d,ATM Signaling Network in Development and Disease  WP3878,ATM Signaling Network in Development and Disease ,WP3878,https://www.wikipathways.org/index.php/Pathway:WP3878
f87d393d-7eae-58fb-aac0-a48beaf66984,ATM Signaling Pathway WP2516,ATM Signaling Pathway,WP2516,https://www.wikipathways.org/index.php/Pathway:WP2516
b4d509cd-d80a-5965-8533-2fc5a31a4b67,ATR Signaling WP3875,ATR Signaling,WP3875,https://www.wikipathways.org/index.php/Pathway:WP3875
6d3a2b6c-4a4c-540b-b008-c4b253fa324a,Autophagy WP4923,Autophagy,WP4923,https://www.wikipathways.org/index.php/Pathway:WP4923
c51ba777-8c75-543f-9bb5-f22bea5a53a0,Autosomal recessive Osteopetrosis pathways WP4788,Autosomal recessive Osteopetrosis pathways,WP4788,https://www.wikipathways.org/index.php/Pathway:WP4788
fc58166b-8286-5187-9a59-a57f5f3408aa,B Cell Receptor Signaling Pathway WP23,B Cell Receptor Signaling Pathway,WP23,https://www.wikipathways.org/index.php/Pathway:WP23
79ccdbfd-21de-5c1b-87a9-7efd0b0e91cd,Base Excision Repair WP4752,Base Excision Repair,WP4752,https://www.wikipathways.org/index.php/Pathway:WP4752
1d4fc9cc-de8d-50b9-80e3-ec7f43eb115c,BDNF-TrkB Signaling WP3676,BDNF-TrkB Signaling,WP3676,https://www.wikipathways.org/index.php/Pathway:WP3676
1b54c692-dc0b-5f67-bbbd-2121b8cdaa47,Benzene metabolism WP3891,Benzene metabolism,WP3891,https://www.wikipathways.org/index.php/Pathway:WP3891
3e9a60a8-e112-5821-a21d-c3d244bac325,Benzo(a)pyrene metabolism WP696,Benzo(a)pyrene metabolism,WP696,https://www.wikipathways.org/index.php/Pathway:WP696
467ab3da-1e34-525f-ade5-d4b6d8d706ce,Bile acids synthesis and enterohepatic circulation  WP4389,Bile acids synthesis and enterohepatic circulation ,WP4389,https://www.wikipathways.org/index.php/Pathway:WP4389
35e6a07e-e10f-5dac-ba5c-7bcca863665b,Biogenic Amine Synthesis WP550,Biogenic Amine Synthesis,WP550,https://www.wikipathways.org/index.php/Pathway:WP550
682da753-a9f5-57aa-87b4-e63acc8581d7,Biomarkers for pyrimidine metabolism disorders WP4584,Biomarkers for pyrimidine metabolism disorders,WP4584,https://www.wikipathways.org/index.php/Pathway:WP4584
eac09fa1-b0e1-5dfa-8727-0957f2c1dd86,Biomarkers for urea cycle disorders WP4583,Biomarkers for urea cycle disorders,WP4583,https://www.wikipathways.org/index.php/Pathway:WP4583
4caee8e2-3c33-522b-b561-0d7900e4d63f,Biotin Metabolism (including IEMs) WP5031,Biotin Metabolism (including IEMs),WP5031,https://www.wikipathways.org/index.php/Pathway:WP5031
8c5242e2-eeda-55cd-8e9f-9cdda6fd4488,Bladder cancer WP2828,Bladder cancer,WP2828,https://www.wikipathways.org/index.php/Pathway:WP2828
9d44819c-40a3-522c-bb65-bfa068610b77,Blood Clotting Cascade WP272,Blood Clotting Cascade,WP272,https://www.wikipathways.org/index.php/Pathway:WP272
4715c55d-4e70-577c-bd7b-b2ac8ea08ae6,BMP Signaling Pathway in Eyelid Development WP3927,BMP Signaling Pathway in Eyelid Development,WP3927,https://www.wikipathways.org/index.php/Pathway:WP3927
ce2f3fb0-6568-52e2-ae61-e04a7e668832,BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation WP3876,BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation,WP3876,https://www.wikipathways.org/index.php/Pathway:WP3876
18a01d34-f6e3-5eab-973e-1ec13ddadebe,Bone morphogenic protein (BMP) signaling and regulation WP1425,Bone morphogenic protein (BMP) signaling and regulation,WP1425,https://www.wikipathways.org/index.php/Pathway:WP1425
9b4986f4-ffdf-5885-976f-879bc4cd37cf,Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,WP2380,https://www.wikipathways.org/index.php/Pathway:WP2380
e0ce9070-cb51-5af8-ad31-8d66c2357b28,Breast cancer pathway WP4262,Breast cancer pathway,WP4262,https://www.wikipathways.org/index.php/Pathway:WP4262
a8aaf3d6-3f87-5a0f-ad65-5ccdfce4f1d0,Calcium Regulation in the Cardiac Cell WP536,Calcium Regulation in the Cardiac Cell,WP536,https://www.wikipathways.org/index.php/Pathway:WP536
c65a5de9-babd-582e-aaa9-9d642c492b30,Caloric restriction and aging WP4191,Caloric restriction and aging,WP4191,https://www.wikipathways.org/index.php/Pathway:WP4191
446568ca-ab1d-55fd-9159-f0b5c500d98e,CAMKK2  Pathway WP4874,CAMKK2  Pathway,WP4874,https://www.wikipathways.org/index.php/Pathway:WP4874
9186c517-2c0f-5b52-8adf-50d447459dd2,Cancer immunotherapy by CTLA4 blockade WP4582,Cancer immunotherapy by CTLA4 blockade,WP4582,https://www.wikipathways.org/index.php/Pathway:WP4582
a5146cb6-d8e9-588e-ae79-788ea0482a46,Cancer immunotherapy by PD-1 blockade WP4585,Cancer immunotherapy by PD-1 blockade,WP4585,https://www.wikipathways.org/index.php/Pathway:WP4585
7291643d-18c8-563d-90af-0bde188a20a1,Cannabinoid receptor signaling WP3869,Cannabinoid receptor signaling,WP3869,https://www.wikipathways.org/index.php/Pathway:WP3869
ce0ab6bf-972c-5d48-b948-acd25e4b2df5,Canonical and non-canonical Notch signaling WP3845,Canonical and non-canonical Notch signaling,WP3845,https://www.wikipathways.org/index.php/Pathway:WP3845
d8cd5b74-00b9-5ff6-a490-fd5b21aed7b9,Canonical and non-canonical TGF-B signaling WP3874,Canonical and non-canonical TGF-B signaling,WP3874,https://www.wikipathways.org/index.php/Pathway:WP3874
3e6944ab-b352-5cf4-98c6-203d5a7a444e,Canonical NF-KB pathway WP4562,Canonical NF-KB pathway,WP4562,https://www.wikipathways.org/index.php/Pathway:WP4562
ab642a5c-d81e-5621-bdb6-3890018eed14,Cardiac Hypertrophic Response WP2795,Cardiac Hypertrophic Response,WP2795,https://www.wikipathways.org/index.php/Pathway:WP2795
fbe1655e-a4c6-5e79-8833-200a97e370ab,Cardiac Progenitor Differentiation WP2406,Cardiac Progenitor Differentiation,WP2406,https://www.wikipathways.org/index.php/Pathway:WP2406
